"depth","fbio","age"
0.1,0.87,-554
0.1,0.87,470.45
0.1,0.87,624.62
0.1,0.87,486.7
0.1,0.87,-105.93
0.1,0.87,1226.66
0.1,0.87,371.28
0.1,0.87,-359.82
0.1,0.87,-1558.53
0.1,0.87,914.61
0.1,0.87,96.48
0.1,0.87,66.41
0.1,0.87,761.9
0.1,0.87,696.79
0.1,0.87,533.68
0.1,0.87,821.55
0.1,0.87,672.72
0.1,0.87,149.41
0.1,0.87,-1409.73
0.1,0.87,541.77
0.1,0.87,41.08
0.1,0.87,-16.42
0.1,0.87,-975.63
0.1,0.87,-253.16
0.1,0.87,422.7
0.1,0.87,1077.08
0.1,0.87,27.45
0.1,0.87,379.27
0.1,0.87,12.77
0.1,0.87,-937.96
0.1,0.87,-230.67
0.1,0.87,-181.09
0.1,0.87,23.35
0.1,0.87,899.9
0.1,0.87,636.86
0.1,0.87,-43.2
0.1,0.87,-97.69
0.1,0.87,591.28
0.1,0.87,518.82
0.1,0.87,-458
0.1,0.87,-468.7
0.1,0.87,387.57
0.1,0.87,638.99
0.1,0.87,8.28
0.1,0.87,736.74
0.1,0.87,391.07
0.1,0.87,-339.69
0.1,0.87,373.02
0.1,0.87,-770.06
0.1,0.87,1110.74
0.1,0.87,1621.59
0.1,0.87,-177.52
0.1,0.87,-687.84
0.1,0.87,510.91
0.1,0.87,-6.69
0.1,0.87,1881.67
0.1,0.87,63.3
0.1,0.87,592.81
0.1,0.87,76.16
0.1,0.87,-452.83
0.1,0.87,257.38
0.1,0.87,-1276.29
0.1,0.87,1156.78
0.1,0.87,212.31
0.1,0.87,1712.42
0.1,0.87,404.18
0.1,0.87,-448.51
0.1,0.87,528.73
0.1,0.87,-623.82
0.1,0.87,-880.58
0.1,0.87,340.31
0.1,0.87,-255.51
0.1,0.87,51.06
0.1,0.87,143.8
0.1,0.87,-352.72
0.1,0.87,-363.28
0.1,0.87,-78.08
0.1,0.87,954.03
0.1,0.87,-1046.81
0.1,0.87,528.11
0.1,0.87,331.56
0.1,0.87,892.99
0.1,0.87,-169.12
0.1,0.87,384.42
0.1,0.87,284.12
0.1,0.87,-308.15
0.1,0.87,1011.5
0.1,0.87,958.89
0.1,0.87,590.63
0.1,0.87,1298.42
0.1,0.87,460.81
0.1,0.87,-884.97
0.1,0.87,-351.41
0.1,0.87,-838.04
0.1,0.87,-249.74
0.1,0.87,-378.51
0.1,0.87,124.03
0.1,0.87,-600.75
0.1,0.87,197.23
0.1,0.87,-392.45
0.1,0.87,1433.41
0.1,0.87,571.03
0.1,0.87,778.55
0.1,0.87,379.9
0.1,0.87,1336.61
0.1,0.87,-372.95
0.1,0.87,-270.5
0.1,0.87,1152.15
0.1,0.87,-386.13
0.1,0.87,-35.56
0.1,0.87,-205.04
0.1,0.87,-164.95
0.1,0.87,-150.37
0.1,0.87,447.6
0.1,0.87,-68.81
0.1,0.87,-301
0.1,0.87,1099.45
0.1,0.87,-94.9
0.1,0.87,4.8
0.1,0.87,12.03
0.1,0.87,642.11
0.1,0.87,-19.29
0.1,0.87,71.22
0.1,0.87,-454.95
0.1,0.87,-140.01
0.1,0.87,137.37
0.1,0.87,-366.32
0.1,0.87,510.3
0.1,0.87,-1069.6
0.1,0.87,301.64
0.1,0.87,-1089.43
0.1,0.87,-155.84
0.1,0.87,-292.48
0.1,0.87,-396.07
0.1,0.87,62.31
0.1,0.87,-1360.05
0.1,0.87,974.24
0.1,0.87,-1159.7
0.1,0.87,-293.66
0.1,0.87,-715.73
0.1,0.87,-476.39
0.1,0.87,1665.34
0.1,0.87,116.98
0.1,0.87,-881.88
0.1,0.87,-1152.97
0.1,0.87,440.29
0.1,0.87,48.02
0.1,0.87,-113.3
0.1,0.87,-621.17
0.1,0.87,-997
0.3,0.71,2034.87
0.3,0.71,972.44
0.3,0.71,1280.94
0.3,0.71,110.05
0.3,0.71,1153.02
0.3,0.71,1672.74
0.3,0.71,1019.26
0.3,0.71,585.06
0.3,0.71,420.18
0.3,0.71,872.69
0.3,0.71,1707.26
0.3,0.71,521.74
0.3,0.71,821.94
0.3,0.71,-40.03
0.3,0.71,1292.99
0.3,0.71,1863.4
0.3,0.71,1988.35
0.3,0.71,1508.26
0.3,0.71,-493.56
0.3,0.71,1289.39
0.3,0.71,1213.97
0.3,0.71,642.12
0.3,0.71,1032.29
0.3,0.71,276.55
0.3,0.71,1408.37
0.3,0.71,646.71
0.3,0.71,-301.34
0.3,0.71,613.09
0.3,0.71,1915.26
0.3,0.71,698.12
0.3,0.71,1500.41
0.3,0.71,1605.97
0.3,0.71,880.94
0.3,0.71,593.9
0.3,0.71,513.05
0.3,0.71,1431.35
0.3,0.71,149.86
0.3,0.71,1065.61
0.3,0.71,684.74
0.3,0.71,-719.21
0.3,0.71,-180.37
0.3,0.71,1593
0.3,0.71,732.85
0.3,0.71,1509.28
0.3,0.71,2296.82
0.3,0.71,2006.56
